id,question,option1,option2,option3,option4,answer,difficultyid,question,option1,option2,option3,option4,answer,difficulty
1,What does HTML stand for?,Hyper Text Markup Language,High Text Machine Language,Hyperlinks Text Mark Language,Home Tool Markup Language,Hyper Text Markup Language,easy
2,Which tag creates a paragraph?,<p>,<h>,<div>,<span>,<p>,easy
3,Which tag creates a hyperlink?,<a>,<link>,<href>,<url>,<a>,easy
4,Which tag inserts image?,<img>,<image>,<pic>,<src>,<img>,easy
5,Which attribute gives image path?,src,href,alt,link,src,easy
6,Which tag makes text bold?,<b>,<strong>,<bold>,<text>,<b>,easy
7,Which tag makes text italic?,<i>,<em>,<italic>,<style>,<i>,easy
8,Which tag creates line break?,<br>,<lb>,<break>,<hr>,<br>,easy
9,Which tag creates horizontal line?,<hr>,<line>,<border>,<br>,<hr>,easy
10,Which tag creates list?,<ul>,<li>,<list>,<ol>,<ul>,easy
11,Which tag creates list item?,<li>,<ul>,<ol>,<item>,<li>,easy
12,Which tag creates ordered list?,<ol>,<ul>,<list>,<li>,<ol>,easy
13,Which tag defines table?,<table>,<tab>,<tr>,<td>,<table>,easy
14,Which tag defines table row?,<tr>,<td>,<th>,<row>,<tr>,easy
15,Which tag defines table cell?,<td>,<tr>,<th>,<cell>,<td>,easy
16,Which tag defines table header?,<th>,<td>,<tr>,<head>,<th>,easy
17,Which attribute gives tooltip?,title,alt,name,label,title,easy
18,Which attribute opens link in new tab?,target,href,rel,open,target,easy
19,Which value opens new tab?,_blank,_self,_new,_top,_blank,easy
20,Which tag creates form?,<form>,<input>,<field>,<submit>,<form>,easy
21,Which tag takes input?,<input>,<form>,<text>,<data>,<input>,easy
22,Which input type is password?,password,text,hidden,secure,password,easy
23,Which input type is checkbox?,checkbox,radio,check,box,checkbox,easy
24,Which input type is radio?,radio,checkbox,option,select,radio,easy
25,Which tag defines heading?,<h1>,<p>,<head>,<title>,<h1>,easy
26,Which heading is largest?,<h1>,<h6>,<h3>,<h4>,<h1>,easy
27,Which tag defines document title?,<title>,<head>,<meta>,<name>,<title>,easy
28,Which tag links CSS?,<link>,<style>,<css>,<script>,<link>,easy
29,Which tag embeds CSS?,<style>,<css>,<link>,<script>,<style>,easy
30,Which tag embeds JS?,<script>,<js>,<javascript>,<code>,<script>,easy
31,What does semantic HTML mean?,Meaningful tags,Styled tags,Colored tags,Small tags,Meaningful tags,medium
32,Which tag represents navigation?,<nav>,<menu>,<header>,<aside>,<nav>,medium
33,Which tag represents header?,<header>,<head>,<top>,<h>,<header>,medium
34,Which tag represents footer?,<footer>,<bottom>,<end>,<foot>,<footer>,medium
35,Which tag represents article?,<article>,<section>,<div>,<content>,<article>,medium
36,Which tag groups related content?,<section>,<div>,<span>,<group>,<section>,medium
37,Which tag represents sidebar?,<aside>,<side>,<bar>,<menu>,<aside>,medium
38,Which attribute is mandatory for img accessibility?,alt,src,title,id,alt,medium
39,Which tag embeds audio?,<audio>,<sound>,<music>,<media>,<audio>,medium
40,Which tag embeds video?,<video>,<media>,<movie>,<film>,<video>,medium
41,Which attribute enables controls?,controls,control,enable,show,controls,medium
42,Which attribute auto plays media?,autoplay,play,start,auto,autoplay,medium
43,Which tag embeds iframe?,<iframe>,<frame>,<window>,<embed>,<iframe>,medium
44,Which attribute sets charset?,charset,encoding,lang,meta,charset,medium
45,Which tag defines metadata?,<meta>,<data>,<info>,<head>,<meta>,medium
46,Which tag prevents zoom on mobile?,viewport,scale,width,device,viewport,medium
47,Which input type selects date?,date,calendar,time,day,date,medium
48,Which input type selects email?,email,mail,text,address,email,medium
49,Which input type selects number?,number,int,digit,numeric,number,medium
