id,question,option1,option2,option3,option4,answer,difficulty
1,What does CSS stand for?,Cascading Style Sheets,Creative Style System,Computer Style Sheets,Colorful Style Sheets,Cascading Style Sheets,easy
2,Which property changes text color?,color,font-color,text-color,fgcolor,color,easy
3,Which property changes background color?,background-color,bgcolor,color,background,background-color,easy
4,Which selector selects all elements?,*,all,body,html,*,easy
5,Which property changes font size?,font-size,text-size,size,font,font-size,easy
6,Which property changes font style?,font-style,style,font,text-style,font-style,easy
7,Which property makes text bold?,font-weight,font-style,weight,bold,font-weight,easy
8,Which unit is relative?,em,px,cm,mm,em,easy
9,Which unit is absolute?,px,em,rem,%,px,easy
10,Which property aligns text?,text-align,align,position,float,text-align,easy
11,Which value centers text?,center,middle,align,mid,center,easy
12,Which property adds space inside element?,padding,margin,border,spacing,padding,easy
13,Which property adds space outside element?,margin,padding,space,border,margin,easy
14,Which property adds border?,border,outline,edge,frame,border,easy
15,Which value hides element?,display:none,visibility:hidden,hidden,opacity:0,display:none,easy
16,Which property controls visibility?,visibility,display,opacity,show,visibility,easy
17,Which value makes block inline?,inline,block,flex,grid,inline,easy
18,Which property floats element?,float,align,position,flow,float,easy
19,Which value floats left?,left,right,center,auto,left,easy
20,Which property clears float?,clear,float,overflow,reset,clear,easy
21,Which property sets width?,width,size,length,span,width,easy
22,Which property sets height?,height,size,length,span,height,easy
23,Which property sets background image?,background-image,bg-image,image,background,background-image,easy
24,Which value repeats background?,repeat,no-repeat,repeat-x,repeat-y,repeat,easy
25,Which value prevents repeat?,no-repeat,stop,none,fixed,no-repeat,easy
26,Which property sets position?,position,place,align,layout,position,easy
27,Which value positions relative?,relative,absolute,fixed,static,relative,easy
28,Which property sets opacity?,opacity,transparent,visibility,alpha,opacity,easy
29,Which value fully visible?,1,0,100,visible,1,easy
30,Which property sets cursor?,cursor,mouse,pointer,hover,cursor,easy
31,Which position removes element from flow?,absolute,relative,static,sticky,absolute,medium
32,Which position sticks on scroll?,sticky,fixed,absolute,relative,sticky,medium
33,Which property controls stacking order?,z-index,order,layer,depth,z-index,medium
34,Which display creates flexbox?,flex,block,grid,inline,flex,medium
35,Which property aligns items in flex?,align-items,justify-items,place-items,align,align-items,medium
36,Which property aligns main axis?,justify-content,align-items,content,place,justify-content,medium
37,Which value spreads items evenly?,space-between,center,space-around,even,space-between,medium
38,Which display creates grid?,grid,flex,block,inline,grid,medium
39,Which property defines grid columns?,grid-template-columns,grid-columns,columns,template,grid-template-columns,medium
40,Which unit is viewport based?,vw,em,px,cm,vw,medium
41,Which unit relates to root font?,rem,em,px,%,rem,medium
42,Which pseudo-class targets hover?,hover,active,focus,visited,hover,medium
43,Which pseudo-class targets focus?,focus,hover,active,visited,focus,medium
